speaker,topic,title,start_at,end_at
Emtiyaz Khan,Bayesian Machine Learning,Machine Learning from a Bayesian Perspective,2021-11-09 14:00:00 +08:00,2021-11-09 16:00:00 +08:00
Emtiyaz Khan,Bayesian Machine Learning,Machine Learning from a Bayesian Perspective,2021-11-10 14:00:00 +08:00,2021-11-10 16:00:00 +08:00
"Jonas Peters, Sorawit Saengkyongam",Causality,Causality and Distributional Robustness,2021-11-11 16:00:00 +08:00,2021-11-11 18:00:00 +08:00
"Jonas Peters, Sorawit Saengkyongam",Causality,Causality and Distributional Robustness,2021-11-12 16:00:00 +08:00,2021-11-12 18:00:00 +08:00
Cheng-Te Li,Graph Learning,Graph Representation Learning and Its Applications,2021-11-11 10:00:00 +08:00,2021-11-11 11:00:00 +08:00
Cheng-Te Li,Graph Learning,Graph Representation Learning and Its Applications,2021-11-11 11:00:00 +08:00,2021-11-11 13:00:00 +08:00
Hung-yi Lee,Unsupervised/Meta Learning,Self-supervised Learning and its applications to Human Language Processing,2021-11-12 14:00:00 +08:00,2021-11-12 16:00:00 +08:00
Hung-yi Lee,Unsupervised/Meta Learning,Meta Learning and its applications to Human Language Processing,2021-11-15 11:00:00 +08:00,2021-11-15 13:00:00 +08:00
Reza Haffari,Machine Learning for NLP,Machine Learning for NLP,2021-11-09 9:00:00 +08:00,2021-11-09 11:00:00 +08:00
Sinno Pan,Transfer Learning,Transfer Learning,2021-11-11 14:00:00 +08:00,2021-11-11 16:00:00 +08:00
Taiji Suzuki,Optimization Theory,Deep Learning Theory and Optimization,2021-11-15 9:00:00 +08:00,2021-11-15 11:00:00 +08:00
Taiji Suzuki,Optimization Theory,Deep Learning Theory and Optimization,2021-11-16 14:00:00 +08:00,2021-11-16 16:00:00 +08:00
Zhongwen Xu,Reinforcement Learning,Reinforcement Learning,2021-11-15 14:00:00 +08:00,2021-11-15 16:00:00 +08:00
Zhongwen Xu,Reinforcement Learning,Reinforcement Learning,2021-11-16 16:00:00 +08:00,2021-11-16 18:00:00 +08:00
Cheng Soon Ong,Computational Biology,Computational Biology,2021-11-08 11:00:00 +08:00,2021-11-08 13:00:00 +08:00
Cheng Soon Ong,Computational Biology,Computational Biology,2021-11-09 11:00:00 +08:00,2021-11-09 13:00:00 +08:00
Angela Yao,Machine Learning for Computer Vision,Machine Learning for Computer Vision,2021-11-08 14:00:00 +08:00,2021-11-08 16:00:00 +08:00
Angela Yao,Machine Learning for Computer Vision,Machine Learning for Computer Vision,2021-11-08 16:00:00 +08:00,2021-11-08 18:00:00 +08:00
Vered Shwartz,Commonsense Learning,Commonsense Reasoning in Natural Language Processing,2021-11-16 9:00:00 +08:00,2021-11-16 11:00:00 +08:00
Vered Shwartz,Commonsense Learning,Commonsense Reasoning in Natural Language Processing,2021-11-16 11:00:00 +08:00,2021-11-16 13:00:00 +08:00
Nhat Ho,Optimal Transport,Optimal Transport,2021-11-10 11:00:00 +08:00,2021-11-10 13:00:00 +08:00
Peter Bartlett,Generalization Theory,Generalization Theory,2021-11-12 9:00:00 +08:00,2021-11-12 11:00:00 +08:00
Peter Bartlett,Generalization Theory,Generalization Theory,2021-11-12 11:00:00 +08:00,2021-11-12 13:00:00 +08:00
Wee Sun Lee,,Introduction and Ice Breaker,2021-11-08 09:30:00 +08:00,2021-11-08 10:30:00 +08:00
"Hưng Bùi, Wray Buntine, Wittawat Jitkrittum, Wee Sun Lee, Nan Lu, Ngân Vũ",,Roundtable Discussion on Machine Learning Research,2021-11-10 09:30:00 +08:00,2021-11-10 10:30:00 +08:00
